"","ProcessName","Metric","Description","Units","Value","StdDev","ProcessGroup"
"1","Adsorption with Magnetic Recovery","Effluent PO4 concentration","","mg/L P",0.4125,0.374548617227012,"Ion Exchange/Adsorption"
"2","Adsorption with Magnetic Recovery","PO4 removal efficiency","During early cycles of pilot testing; greater than value listed","%",95.7,3.44129336151405,"Ion Exchange/Adsorption"
"3","Adsorption with Magnetic Recovery","PO4 recovery efficiency","Overall for pilot testing","%",82,0,"Ion Exchange/Adsorption"
"4","Adsorption with Magnetic Recovery","Cost for P recovery","Preliminary estimate (minimum)","$/kg P",11.1,6.40858798800485,"Ion Exchange/Adsorption"
"5","Advanced Oxidation Processes (AOPs)","NH3-NH4 removal efficiency","The range of ammonia nitrogen removal rate when the initial pH is ranging from 3 to 8.5; The maximum of nitrogen removal rate under the conditions of S2O82-:12COD = 0.5 and temperature = 27 C (see Figure 2, lower limit)","%",48.0117647058823,39.2607310171372,"Oxidation Processes"
"6","Advanced Oxidation Processes (AOPs)","Energy consumption for N removal","When the current density is 3 mA cm-2 and the Cl- concentration is 5 mM (estimate from Figure 6)","MJ/kg N",1016.91,855.014761229302,"Oxidation Processes"
"7","Aerobic-Extended Idle EBPR","Effluent NO3 concentration","Effluent nitrate from reactor","mg/L N",2.20143891853708,0.781024967590665,"Conventional EBPR"
"8","Aerobic-Extended Idle EBPR","TN removal efficiency","Total nitrogen removal through reactor","%",63.6,0,"Conventional EBPR"
"9","Aerobic-Extended Idle EBPR","Effluent PO4 concentration","Effluent soluble orthophosphate from reactor. Phosphorus that was not taken up during the aerobic cycle","mg/L P",0.247834611261917,0.412310562561766,"Conventional EBPR"
"10","Aerobic-Extended Idle EBPR","PO4 removal efficiency","Removal efficiency of soluble orthophosphate from reactor","%",94.9,1.09544511501033,"Conventional EBPR"
"11","Aerobic-Extended Idle EBPR","Effluent NH3-NH4 concentration","Effluent ammonia from reactor","mg/L N",1.07154831199069,0.793725393319377,"Conventional EBPR"
"12","Aerobic-Extended Idle EBPR","Effluent NO2 concentration","Effluent nitrite from reactor","mg/L N",0.045647212259537,0.244948974278318,"Conventional EBPR"
"13","Aerobic-Extended Idle EBPR","Effluent P concentration","Phosphorus at the end of the aerobic phase, influent NO3 of 0 mg/L (minimum)","mg/L P",1.585,1.36075959179668,"Conventional EBPR"
"14","Air-Biocathode Microbial Fuel Cell-Membrane Bioreactor (MFC-MBR)","Effluent NH3-NH4 concentration","Average concentration of ammonia (BC)","mg/L N",0.8,0.640312423743285,"Microbial Fuel Cell"
"15","Air-Biocathode Microbial Fuel Cell-Membrane Bioreactor (MFC-MBR)","NH3-NH4 removal efficiency","Ammonia removal through the reactor (BC)","%",77.15,23.4114644280674,"Microbial Fuel Cell"
"16","Air-Biocathode Microbial Fuel Cell-Membrane Bioreactor (MFC-MBR)","TN removal efficiency","Total nitrogen removal through reactor (BC)","%",97.7,1.37840487520902,"Microbial Fuel Cell"
"17","Air-Cathode Microbial Fuel Cell","Effluent NH3-NH4 concentration","Anode ammonium concentration (days 1-6)","mg/L N",33.3333333333333,25.0650582057402,"Microbial Fuel Cell"
"18","Air-Cathode Microbial Fuel Cell","NH3-NH4 recovery flux","Maximum ammonium recovery rate observed (occurred @ 0.50 A/m2), real urine","kg N/m^2/d",0.00329,0,"Microbial Fuel Cell"
"19","Air-Cathode Microbial Fuel Cell","Energy consumption for N recovery","Calculated net energy yield of ammonium recovery by MFC based on aeration during real urine runs, energy demand for ammonium recovery, and energy production","MJ/kg N",-3.46,0,"Microbial Fuel Cell"
"20","Air-Cathode Microbial Fuel Cell","NH3-NH4 removal efficiency","Average ammonia removal efficiency (during start-up for DEA 1&2) (minimum)","%",80.2857142857143,23.7451749484676,"Microbial Fuel Cell"
"21","Air-Cathode Microbial Fuel Cell","Effluent NO3 concentration","Effluent nitrate from reactor (first 10 cycles of DEA 1&2) (minimum)","mg/L N",17,10.4482853457717,"Microbial Fuel Cell"
"22","Air-Cathode Microbial Fuel Cell","TN removal efficiency","Maximum TN removal efficiency observed (Nafion control) (maximum)","%",82.6666666666667,8.67467578644868,"Microbial Fuel Cell"
"23","Algal Anaerobic Ammonium Oxidation (ALGAMMOX)","N removal rate","Municipal WWTP, SHARON-Anammox system in Rotterdam","kg N/m^3/d",NA,0,"Bacterial-algal flocs"
"24","Algal Anaerobic Ammonium Oxidation (ALGAMMOX)","Effluent NH3-NH4 concentration","Average final value","mg/L N",7,0,"Bacterial-algal flocs"
"25","Algal Anaerobic Ammonium Oxidation (ALGAMMOX)","Effluent NO2 concentration","Average value in the effluent during PSBR","mg/L N",78.5,42.1465696508427,"Bacterial-algal flocs"
"26","Algal Anaerobic Ammonium Oxidation (ALGAMMOX)","Effluent NO3 concentration","Average value in the effluent during PSBR","mg/L N",31,1.15470053837925,"Bacterial-algal flocs"
"27","Algal Anaerobic Ammonium Oxidation (ALGAMMOX)","NH3-NH4 removal rate","During the illuminated phase of PSBR","kg N/m^3/d",0.1408,0.827971974680993,"Bacterial-algal flocs"
"28","Alkaline Dehydration of Urine","N recovery efficiency","Fraction of N retained by ash; static bed at 35 C","%",75.5,11.2546286774228,"Dehydration"
"29","Alkaline Dehydration of Urine","TN recovery efficiency","Ash at 40C","%",74.3333333333333,2.17944947177055,"Dehydration"
"30","Alkaline Dehydration of Urine","P recovery efficiency","Relative to influent of dehydration step; All conditions","%",100,0,"Dehydration"
