"","ProcessGroup","Metric","Units","Value","StdDev","NumProcesses","NumProcessesReporting","FracProcessesReporting","PercentStdDev"
"1","Ion Exchange/Adsorption","Energy consumption for N removal",NA,NA,NA,7,0,0,NA
"2","Ion Exchange/Adsorption","Energy consumption for N recovery","MJ/kg N",116,0,7,1,0.142857142857143,0
"3","Ion Exchange/Adsorption","Energy consumption for P removal",NA,NA,NA,7,0,0,NA
"4","Ion Exchange/Adsorption","Energy consumption for P recovery",NA,NA,NA,7,0,0,NA
"5","Ion Exchange/Adsorption","Cost for N removal",NA,NA,NA,7,0,0,NA
"6","Ion Exchange/Adsorption","Cost for N recovery",NA,NA,NA,7,0,0,NA
"7","Ion Exchange/Adsorption","Cost for P removal",NA,NA,NA,7,0,0,NA
"8","Ion Exchange/Adsorption","Cost for P recovery","$/kg P",11.1,2.53151890927262,7,1,0.142857142857143,22.8064766601137
"9","Ion Exchange/Adsorption","GHG emissions for N removal",NA,NA,NA,7,0,0,NA
"10","Ion Exchange/Adsorption","GHG emissions for N recovery",NA,NA,NA,7,0,0,NA
"11","Ion Exchange/Adsorption","GHG emissions for P removal",NA,NA,NA,7,0,0,NA
"12","Ion Exchange/Adsorption","GHG emissions for P recovery",NA,NA,NA,7,0,0,NA
"13","Ion Exchange/Adsorption","Effluent P concentration",NA,NA,NA,7,0,0,NA
"14","Ion Exchange/Adsorption","Effluent TP concentration","mg/L P",2.30916666666667,2.6467279863566,7,2,0.285714285714286,114.618317705807
"15","Ion Exchange/Adsorption","Effluent PO4 concentration","mg/L P",1.798,1.646185206574,7,2,0.285714285714286,91.5564631020021
"16","Ion Exchange/Adsorption","Effluent N concentration",NA,NA,NA,7,0,0,NA
"17","Ion Exchange/Adsorption","Effluent NO3 concentration",NA,NA,NA,7,0,0,NA
"18","Ion Exchange/Adsorption","Effluent NO2 concentration",NA,NA,NA,7,0,0,NA
"19","Ion Exchange/Adsorption","Effluent TN concentration",NA,NA,NA,7,0,0,NA
"20","Ion Exchange/Adsorption","Effluent TKN concentration",NA,NA,NA,7,0,0,NA
"21","Ion Exchange/Adsorption","Effluent TIN concentration","mg/L N",10.7,2.29737709528233,7,1,0.142857142857143,21.4708139746012
"22","Ion Exchange/Adsorption","Effluent NO2-NO3 concentration",NA,NA,NA,7,0,0,NA
"23","Ion Exchange/Adsorption","Effluent NH3-NH4 concentration","mg/L N",11.15,2.19413196101814,7,1,0.142857142857143,19.6783135517322
"24","Ion Exchange/Adsorption","P removal efficiency","%",62.2526666666667,4.42984841895386,7,2,0.285714285714286,7.11591752795681
"25","Ion Exchange/Adsorption","TP removal efficiency",NA,NA,NA,7,0,0,NA
"26","Ion Exchange/Adsorption","PO4 removal efficiency","%",72.2333333333333,23.6579102561694,7,3,0.428571428571429,32.7520677288917
"27","Ion Exchange/Adsorption","N removal efficiency","%",46.7988888888889,3.00532610045795,7,1,0.142857142857143,6.42178943092702
"28","Ion Exchange/Adsorption","TIN removal efficiency",NA,NA,NA,7,0,0,NA
"29","Ion Exchange/Adsorption","TN removal efficiency",NA,NA,NA,7,0,0,NA
"30","Ion Exchange/Adsorption","TKN removal efficiency",NA,NA,NA,7,0,0,NA
"31","Ion Exchange/Adsorption","NO2 removal efficiency",NA,NA,NA,7,0,0,NA
